addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
196,17号风机风速,风机,17,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
198,17号风机风向,风机,17,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
200,17号风机发电机转速,风机,17,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
202,17号风机风机状态,风机,17,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
204,18号风机有功功率,风机,18,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
206,18号风机无功功率,风机,18,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
208,18号风机风速,风机,18,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
210,18号风机风向,风机,18,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
212,18号风机发电机转速,风机,18,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
214,18号风机风机状态,风机,18,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
216,19号风机有功功率,风机,19,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
218,19号风机无功功率,风机,19,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
220,19号风机风速,风机,19,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
222,19号风机风向,风机,19,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
224,19号风机发电机转速,风机,19,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
226,19号风机风机状态,风机,19,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
228,20号风机有功功率,风机,20,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
230,20号风机无功功率,风机,20,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
232,20号风机风速,风机,20,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
234,20号风机风向,风机,20,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
236,20号风机发电机转速,风机,20,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
238,20号风机风机状态,风机,20,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
240,21号风机有功功率,风机,21,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
242,21号风机无功功率,风机,21,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
244,21号风机风速,风机,21,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
246,21号风机风向,风机,21,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
248,21号风机发电机转速,风机,21,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
250,21号风机风机状态,风机,21,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
252,22号风机有功功率,风机,22,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
254,22号风机无功功率,风机,22,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
256,22号风机风速,风机,22,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
258,22号风机风向,风机,22,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
260,22号风机发电机转速,风机,22,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
262,22号风机风机状态,风机,22,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
264,23号风机有功功率,风机,23,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
266,23号风机无功功率,风机,23,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
268,23号风机风速,风机,23,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
270,23号风机风向,风机,23,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
272,23号风机发电机转速,风机,23,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
274,23号风机风机状态,风机,23,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
276,24号风机有功功率,风机,24,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
278,24号风机无功功率,风机,24,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
280,24号风机风速,风机,24,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
282,24号风机风向,风机,24,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
284,24号风机发电机转速,风机,24,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
286,24号风机风机状态,风机,24,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
288,25号风机有功功率,风机,25,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
290,25号风机无功功率,风机,25,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
292,25号风机风速,风机,25,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
294,25号风机风向,风机,25,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
296,25号风机发电机转速,风机,25,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
298,25号风机风机状态,风机,25,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
300,26号风机有功功率,风机,26,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
302,26号风机无功功率,风机,26,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
304,26号风机风速,风机,26,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
306,26号风机风向,风机,26,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
308,26号风机发电机转速,风机,26,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
310,26号风机风机状态,风机,26,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
312,27号风机有功功率,风机,27,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
314,27号风机无功功率,风机,27,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
316,27号风机风速,风机,27,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
318,27号风机风向,风机,27,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
320,27号风机发电机转速,风机,27,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
322,27号风机风机状态,风机,27,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
324,28号风机有功功率,风机,28,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
326,28号风机无功功率,风机,28,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
328,28号风机风速,风机,28,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
330,28号风机风向,风机,28,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
332,28号风机发电机转速,风机,28,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
334,28号风机风机状态,风机,28,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
336,29号风机有功功率,风机,29,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
338,29号风机无功功率,风机,29,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
340,29号风机风速,风机,29,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
342,29号风机风向,风机,29,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
344,29号风机发电机转速,风机,29,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
346,29号风机风机状态,风机,29,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
348,30号风机有功功率,风机,30,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
350,30号风机无功功率,风机,30,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
352,30号风机风速,风机,30,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
354,30号风机风向,风机,30,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
356,30号风机发电机转速,风机,30,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
358,30号风机风机状态,风机,30,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
360,31号风机有功功率,风机,31,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
362,31号风机无功功率,风机,31,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
364,31号风机风速,风机,31,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
366,31号风机风向,风机,31,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
368,31号风机发电机转速,风机,31,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
370,31号风机风机状态,风机,31,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
372,32号风机有功功率,风机,32,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
374,32号风机无功功率,风机,32,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
376,32号风机风速,风机,32,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
378,32号风机风向,风机,32,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
380,32号风机发电机转速,风机,32,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
382,32号风机风机状态,风机,32,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
384,33号风机有功功率,风机,33,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
386,33号风机无功功率,风机,33,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
388,33号风机风速,风机,33,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
390,33号风机风向,风机,33,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
392,33号风机发电机转速,风机,33,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
394,33号风机风机状态,风机,33,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
